task,feature_set,n_estimators,learning_rate,num_leaves,min_child_samples,val_total_pnl_bps,val_n_trades,val_auprc,test_net_bps_captured,test_n_trades,test_auroc,test_auprc,test_final_pnl_usd,oracle_capture_pct,selected_best
basis_usdc_1m_gt10bps,price_only,500,0.05,15,50,nan,0,0.1221,-105.0858,1,0.6836,0.2853,-105.09,-0.5838,False
basis_usdc_1m_gt10bps,price_only,500,0.05,31,20,nan,0,0.1194,-107.5102,4,0.5852,0.1826,-430.04,-0.5973,False
basis_usdc_1m_gt10bps,price_only,500,0.05,31,50,nan,0,0.1266,-98.9686,6,0.6619,0.2357,-593.81,-0.5498,False
basis_usdc_1m_gt10bps,price_only,500,0.05,63,20,nan,0,0.1389,-107.5102,4,0.6262,0.2013,-430.04,-0.5973,False
basis_usdc_1m_gt10bps,price_only,500,0.05,63,50,-8303.3219,95,0.1361,-84.7455,19,0.6975,0.2531,-1610.16,-0.4708,False
basis_usdc_1m_gt10bps,price_only,500,0.1,15,20,nan,0,0.1202,-102.3906,5,0.5753,0.1766,-511.95,-0.5688,False
basis_usdc_1m_gt10bps,price_only,500,0.1,15,50,nan,0,0.1249,-94.7033,6,0.6694,0.2441,-568.22,-0.5261,False
basis_usdc_1m_gt10bps,price_only,500,0.1,31,20,nan,0,0.1253,-100.2649,7,0.6704,0.2524,-701.85,-0.557,False
basis_usdc_1m_gt10bps,price_only,500,0.1,31,50,-8381.3106,97,0.1326,-83.662,20,0.6417,0.2303,-1673.24,-0.4648,False
basis_usdc_1m_gt10bps,price_only,500,0.1,63,20,nan,0,0.1412,-107.5102,4,0.6871,0.2569,-430.04,-0.5973,False
basis_usdc_1m_gt10bps,price_only,500,0.1,63,50,-8494.995,97,0.1301,-66.9381,27,0.6676,0.2362,-1807.33,-0.3719,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.01,15,20,-8821.488,89,0.1151,-118.9543,35,0.6796,0.2357,-4163.4,-0.6609,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.01,15,50,-11950.7748,126,0.1297,-74.266,196,0.7034,0.2591,-14556.15,-0.4126,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.01,31,20,-8652.8554,76,0.1058,-75.6765,27,0.6426,0.1944,-2043.26,-0.4204,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.01,31,50,-19091.5985,201,0.1261,-74.8112,163,0.7032,0.2547,-12194.22,-0.4156,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.01,63,20,-7084.9976,58,0.1131,-100.0935,22,0.661,0.2054,-2202.06,-0.5561,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.01,63,50,-18552.9349,201,0.1282,-74.8401,196,0.7218,0.2749,-14668.67,-0.4158,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.05,15,20,-5493.8591,52,0.1137,-97.0662,10,0.6335,0.2185,-970.66,-0.5393,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.05,15,50,-3708.5779,41,0.1191,-94.4113,7,0.6689,0.2344,-660.88,-0.5245,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.05,31,20,-4107.065,37,0.1052,nan,0,0.6095,0.1989,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.05,31,50,-5237.2683,58,0.1135,-89.3066,1,0.7071,0.3002,-89.31,-0.4961,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.05,63,20,-3326.9375,35,0.112,-51.8231,15,0.6562,0.2295,-777.35,-0.2879,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.05,63,50,-5488.9139,64,0.1169,-82.2137,2,0.7106,0.2716,-164.43,-0.4567,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.1,15,20,-2691.0559,30,0.1045,nan,0,0.5898,0.1829,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.1,15,50,-2759.8022,30,0.1088,-92.6817,4,0.5179,0.1491,-370.73,-0.5149,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.1,31,20,nan,0,0.1106,nan,0,0.6361,0.2133,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.1,31,50,nan,0,0.1134,nan,0,0.6209,0.1818,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.1,63,20,nan,0,0.1184,nan,0,0.6677,0.2368,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,100,0.1,63,50,nan,0,0.1139,nan,0,0.6413,0.2008,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,200,0.01,15,20,-14128.1689,140,0.1135,-121.4839,30,0.6649,0.2231,-3644.52,-0.6749,False
basis_usdc_1m_gt10bps,price_plus_book,200,0.01,15,50,-21432.1553,230,0.1274,-73.3341,302,0.7093,0.2751,-22146.89,-0.4074,False
basis_usdc_1m_gt10bps,price_plus_book,200,0.01,31,20,-8980.7463,81,0.1042,-83.9365,16,0.615,0.1785,-1342.98,-0.4663,False
basis_usdc_1m_gt10bps,price_plus_book,200,0.01,31,50,-2660.9222,29,0.1202,nan,0,0.7091,0.2833,0.0,nan,True
basis_usdc_1m_gt10bps,price_plus_book,200,0.01,63,20,-3727.9819,41,0.111,-160.291,14,0.6511,0.1994,-2244.07,-0.8905,False
basis_usdc_1m_gt10bps,price_plus_book,200,0.01,63,50,-3269.5522,37,0.1228,-86.8957,1,0.6952,0.2386,-86.9,-0.4828,False
basis_usdc_1m_gt10bps,price_plus_book,200,0.05,15,20,nan,0,0.1081,nan,0,0.5755,0.1733,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,200,0.05,15,50,-3758.0098,41,0.1101,-90.8305,4,0.5962,0.1807,-363.32,-0.5046,False
basis_usdc_1m_gt10bps,price_plus_book,200,0.05,31,20,nan,0,0.1009,nan,0,0.5708,0.1727,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,200,0.05,31,50,nan,0,0.1145,nan,0,0.6825,0.2495,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,200,0.05,63,20,nan,0,0.1083,nan,0,0.6645,0.231,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,200,0.05,63,50,nan,0,0.1107,nan,0,0.6645,0.2276,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,200,0.1,15,20,nan,0,0.099,nan,0,0.4975,0.1472,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,200,0.1,15,50,nan,0,0.1072,nan,0,0.5184,0.152,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,200,0.1,31,20,nan,0,0.115,nan,0,0.6522,0.2295,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,200,0.1,31,50,nan,0,0.1161,nan,0,0.6352,0.1981,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,200,0.1,63,20,nan,0,0.1251,nan,0,0.644,0.2172,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,200,0.1,63,50,nan,0,0.1136,nan,0,0.605,0.1847,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.01,15,20,-6854.1373,67,0.1062,-93.5092,5,0.6198,0.1945,-467.55,-0.5195,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.01,15,50,-9901.2455,109,0.1162,-93.9921,26,0.6494,0.2103,-2443.8,-0.5222,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.01,31,20,nan,0,0.1008,nan,0,0.5817,0.1648,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.01,31,50,-2768.9945,31,0.1092,nan,0,0.6716,0.2389,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.01,63,20,nan,0,0.1065,nan,0,0.6298,0.1884,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.01,63,50,nan,0,0.1145,nan,0,0.6598,0.206,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.05,15,20,nan,0,0.1024,nan,0,0.4908,0.1449,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.05,15,50,nan,0,0.1092,nan,0,0.5974,0.1896,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.05,31,20,nan,0,0.1127,nan,0,0.6003,0.1868,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.05,31,50,nan,0,0.1235,nan,0,0.7103,0.2818,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.05,63,20,nan,0,0.1158,nan,0,0.653,0.222,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.05,63,50,nan,0,0.1088,nan,0,0.6388,0.2107,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.1,15,20,nan,0,0.1062,nan,0,0.5329,0.1617,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.1,15,50,nan,0,0.1213,nan,0,0.4899,0.1415,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.1,31,20,nan,0,0.1197,nan,0,0.6288,0.2116,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.1,31,50,nan,0,0.1192,nan,0,0.6078,0.1852,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.1,63,20,nan,0,0.1278,nan,0,0.6278,0.2041,0.0,nan,False
basis_usdc_1m_gt10bps,price_plus_book,500,0.1,63,50,nan,0,0.1168,nan,0,0.5814,0.1757,0.0,nan,False
executable_arb_q10000_5m,price_only,100,0.01,15,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,True
executable_arb_q10000_5m,price_only,100,0.01,15,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,100,0.01,31,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,100,0.01,31,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,100,0.01,63,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,100,0.01,63,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,100,0.05,15,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,100,0.05,15,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,100,0.05,31,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,100,0.05,31,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,100,0.05,63,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,100,0.05,63,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,100,0.1,15,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,100,0.1,15,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,100,0.1,31,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,100,0.1,31,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,100,0.1,63,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,100,0.1,63,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.01,15,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.01,15,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.01,31,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.01,31,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.01,63,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.01,63,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.05,15,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.05,15,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.05,31,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.05,31,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.05,63,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.05,63,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.1,15,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.1,15,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.1,31,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.1,31,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.1,63,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,200,0.1,63,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.01,15,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.01,15,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.01,31,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.01,31,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.01,63,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.01,63,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.05,15,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.05,15,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.05,31,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.05,31,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.05,63,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.05,63,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.1,15,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.1,15,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.1,31,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.1,31,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.1,63,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_only,500,0.1,63,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,100,0.01,15,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,True
executable_arb_q10000_5m,price_plus_book,100,0.01,15,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,100,0.01,31,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,100,0.01,31,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,100,0.01,63,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,100,0.01,63,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,100,0.05,15,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,100,0.05,15,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,100,0.05,31,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,100,0.05,31,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,100,0.05,63,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,100,0.05,63,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,100,0.1,15,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,100,0.1,15,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,100,0.1,31,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,100,0.1,31,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,100,0.1,63,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,100,0.1,63,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.01,15,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.01,15,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.01,31,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.01,31,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.01,63,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.01,63,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.05,15,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.05,15,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.05,31,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.05,31,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.05,63,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.05,63,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.1,15,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.1,15,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.1,31,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.1,31,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.1,63,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,200,0.1,63,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,500,0.01,15,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,500,0.01,15,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,500,0.01,31,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,500,0.01,31,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,500,0.01,63,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,500,0.01,63,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,500,0.05,15,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,500,0.05,15,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,500,0.05,31,20,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
executable_arb_q10000_5m,price_plus_book,500,0.05,31,50,nan,0,0.0308,nan,0,0.5,0.0576,0.0,nan,False
