split,notional,basis_threshold_bps,settlement_penalty_bps,fee_regime,horizon,n_minutes,price_signal_pct,executable_signal_pct,price_to_execution_ratio,oracle_net_bps,oracle_n_trades
test,10000,0,5,base_fee,1m,15839,83.686,3.03,27.61,224.57,529
test,10000,0,5,base_fee,5m,15839,83.686,5.164,16.2,224.57,529
test,10000,0,5,base_fee,15m,15839,83.686,6.831,12.25,224.57,529
test,10000,0,5,low_fee,1m,15839,83.686,3.163,26.46,224.57,529
test,10000,0,5,low_fee,5m,15839,83.686,5.442,15.38,224.57,529
test,10000,0,5,low_fee,15m,15839,83.686,7.444,11.24,224.57,529
test,10000,0,5,high_fee,1m,15839,83.686,2.961,28.26,224.57,529
test,10000,0,5,high_fee,5m,15839,83.686,5.07,16.51,224.57,529
test,10000,0,5,high_fee,15m,15839,83.686,6.762,12.38,224.57,529
test,10000,0,5,institutional_fee,1m,15839,83.686,3.195,26.2,224.57,529
test,10000,0,5,institutional_fee,5m,15839,83.686,5.455,15.34,224.57,529
test,10000,0,5,institutional_fee,15m,15839,83.686,7.456,11.22,224.57,529
test,10000,0,10,base_fee,1m,15839,83.686,2.879,29.07,224.57,529
test,10000,0,10,base_fee,5m,15839,83.686,4.88,17.15,224.57,529
test,10000,0,10,base_fee,15m,15839,83.686,6.433,13.01,224.57,529
test,10000,0,10,low_fee,1m,15839,83.686,2.929,28.57,224.57,529
test,10000,0,10,low_fee,5m,15839,83.686,5.032,16.63,224.57,529
test,10000,0,10,low_fee,15m,15839,83.686,6.737,12.42,224.57,529
test,10000,0,10,high_fee,1m,15839,83.686,2.841,29.46,224.57,529
test,10000,0,10,high_fee,5m,15839,83.686,4.811,17.4,224.57,529
test,10000,0,10,high_fee,15m,15839,83.686,6.358,13.16,224.57,529
test,10000,0,10,institutional_fee,1m,15839,83.686,2.961,28.26,224.57,529
test,10000,0,10,institutional_fee,5m,15839,83.686,5.07,16.51,224.57,529
test,10000,0,10,institutional_fee,15m,15839,83.686,6.762,12.38,224.57,529
test,10000,5,0,base_fee,1m,15839,25.766,3.34,7.71,224.57,529
test,10000,5,0,base_fee,5m,15839,25.766,5.644,4.56,224.57,529
test,10000,5,0,base_fee,15m,15839,25.766,7.74,3.33,224.57,529
test,10000,5,0,low_fee,1m,15839,25.766,3.504,7.35,224.57,529
test,10000,5,0,low_fee,5m,15839,25.766,5.834,4.42,224.57,529
test,10000,5,0,low_fee,15m,15839,25.766,8.1,3.18,224.57,529
test,10000,5,0,high_fee,1m,15839,25.766,3.195,8.07,224.57,529
test,10000,5,0,high_fee,5m,15839,25.766,5.455,4.72,224.57,529
test,10000,5,0,high_fee,15m,15839,25.766,7.456,3.46,224.57,529
test,10000,5,0,institutional_fee,1m,15839,25.766,3.656,7.05,224.57,529
test,10000,5,0,institutional_fee,5m,15839,25.766,6.105,4.22,224.57,529
test,10000,5,0,institutional_fee,15m,15839,25.766,8.466,3.04,224.57,529
test,10000,5,2,base_fee,1m,15839,25.766,3.195,8.07,224.57,529
test,10000,5,2,base_fee,5m,15839,25.766,5.455,4.72,224.57,529
test,10000,5,2,base_fee,15m,15839,25.766,7.456,3.46,224.57,529
test,10000,5,2,low_fee,1m,15839,25.766,3.34,7.71,224.57,529
test,10000,5,2,low_fee,5m,15839,25.766,5.644,4.56,224.57,529
test,10000,5,2,low_fee,15m,15839,25.766,7.74,3.33,224.57,529
test,10000,5,2,high_fee,1m,15839,25.766,3.081,8.36,224.57,529
test,10000,5,2,high_fee,5m,15839,25.766,5.303,4.86,224.57,529
test,10000,5,2,high_fee,15m,15839,25.766,7.122,3.62,224.57,529
test,10000,5,2,institutional_fee,1m,15839,25.766,3.422,7.53,224.57,529
test,10000,5,2,institutional_fee,5m,15839,25.766,5.764,4.47,224.57,529
test,10000,5,2,institutional_fee,15m,15839,25.766,8.043,3.2,224.57,529
test,10000,5,5,base_fee,1m,15839,25.766,3.03,8.5,224.57,529
test,10000,5,5,base_fee,5m,15839,25.766,5.164,4.99,224.57,529
test,10000,5,5,base_fee,15m,15839,25.766,6.831,3.77,224.57,529
test,10000,5,5,low_fee,1m,15839,25.766,3.163,8.15,224.57,529
test,10000,5,5,low_fee,5m,15839,25.766,5.442,4.73,224.57,529
test,10000,5,5,low_fee,15m,15839,25.766,7.444,3.46,224.57,529
test,10000,5,5,high_fee,1m,15839,25.766,2.961,8.7,224.57,529
test,10000,5,5,high_fee,5m,15839,25.766,5.07,5.08,224.57,529
test,10000,5,5,high_fee,15m,15839,25.766,6.762,3.81,224.57,529
test,10000,5,5,institutional_fee,1m,15839,25.766,3.195,8.07,224.57,529
test,10000,5,5,institutional_fee,5m,15839,25.766,5.455,4.72,224.57,529
test,10000,5,5,institutional_fee,15m,15839,25.766,7.456,3.46,224.57,529
test,10000,5,10,base_fee,1m,15839,25.766,2.879,8.95,224.57,529
test,10000,5,10,base_fee,5m,15839,25.766,4.88,5.28,224.57,529
test,10000,5,10,base_fee,15m,15839,25.766,6.433,4.0,224.57,529
test,10000,5,10,low_fee,1m,15839,25.766,2.929,8.8,224.57,529
test,10000,5,10,low_fee,5m,15839,25.766,5.032,5.12,224.57,529
test,10000,5,10,low_fee,15m,15839,25.766,6.737,3.82,224.57,529
test,10000,5,10,high_fee,1m,15839,25.766,2.841,9.07,224.57,529
test,10000,5,10,high_fee,5m,15839,25.766,4.811,5.36,224.57,529
test,10000,5,10,high_fee,15m,15839,25.766,6.358,4.05,224.57,529
test,10000,5,10,institutional_fee,1m,15839,25.766,2.961,8.7,224.57,529
test,10000,5,10,institutional_fee,5m,15839,25.766,5.07,5.08,224.57,529
test,10000,5,10,institutional_fee,15m,15839,25.766,6.762,3.81,224.57,529
test,10000,10,0,base_fee,1m,15839,12.646,3.34,3.79,224.57,529
test,10000,10,0,base_fee,5m,15839,12.646,5.644,2.24,224.57,529
test,10000,10,0,base_fee,15m,15839,12.646,7.74,1.63,224.57,529
test,10000,10,0,low_fee,1m,15839,12.646,3.504,3.61,224.57,529
test,10000,10,0,low_fee,5m,15839,12.646,5.834,2.17,224.57,529
test,10000,10,0,low_fee,15m,15839,12.646,8.1,1.56,224.57,529
test,10000,10,0,high_fee,1m,15839,12.646,3.195,3.96,224.57,529
test,10000,10,0,high_fee,5m,15839,12.646,5.455,2.32,224.57,529
test,10000,10,0,high_fee,15m,15839,12.646,7.456,1.7,224.57,529
test,10000,10,0,institutional_fee,1m,15839,12.646,3.656,3.46,224.57,529
test,10000,10,0,institutional_fee,5m,15839,12.646,6.105,2.07,224.57,529
test,10000,10,0,institutional_fee,15m,15839,12.646,8.466,1.49,224.57,529
test,10000,10,2,base_fee,1m,15839,12.646,3.195,3.96,224.57,529
test,10000,10,2,base_fee,5m,15839,12.646,5.455,2.32,224.57,529
test,10000,10,2,base_fee,15m,15839,12.646,7.456,1.7,224.57,529
test,10000,10,2,low_fee,1m,15839,12.646,3.34,3.79,224.57,529
test,10000,10,2,low_fee,5m,15839,12.646,5.644,2.24,224.57,529
test,10000,10,2,low_fee,15m,15839,12.646,7.74,1.63,224.57,529
test,10000,10,2,high_fee,1m,15839,12.646,3.081,4.1,224.57,529
test,10000,10,2,high_fee,5m,15839,12.646,5.303,2.38,224.57,529
test,10000,10,2,high_fee,15m,15839,12.646,7.122,1.78,224.57,529
test,10000,10,2,institutional_fee,1m,15839,12.646,3.422,3.7,224.57,529
test,10000,10,2,institutional_fee,5m,15839,12.646,5.764,2.19,224.57,529
test,10000,10,2,institutional_fee,15m,15839,12.646,8.043,1.57,224.57,529
test,10000,10,5,base_fee,1m,15839,12.646,3.03,4.17,224.57,529
test,10000,10,5,base_fee,5m,15839,12.646,5.164,2.45,224.57,529
test,10000,10,5,base_fee,15m,15839,12.646,6.831,1.85,224.57,529
test,10000,10,5,low_fee,1m,15839,12.646,3.163,4.0,224.57,529
test,10000,10,5,low_fee,5m,15839,12.646,5.442,2.32,224.57,529
test,10000,10,5,low_fee,15m,15839,12.646,7.444,1.7,224.57,529
test,10000,10,5,high_fee,1m,15839,12.646,2.961,4.27,224.57,529
test,10000,10,5,high_fee,5m,15839,12.646,5.07,2.49,224.57,529
test,10000,10,5,high_fee,15m,15839,12.646,6.762,1.87,224.57,529
test,10000,10,5,institutional_fee,1m,15839,12.646,3.195,3.96,224.57,529
test,10000,10,5,institutional_fee,5m,15839,12.646,5.455,2.32,224.57,529
test,10000,10,5,institutional_fee,15m,15839,12.646,7.456,1.7,224.57,529
test,10000,10,10,base_fee,1m,15839,12.646,2.879,4.39,224.57,529
test,10000,10,10,base_fee,5m,15839,12.646,4.88,2.59,224.57,529
test,10000,10,10,base_fee,15m,15839,12.646,6.433,1.97,224.57,529
test,10000,10,10,low_fee,1m,15839,12.646,2.929,4.32,224.57,529
test,10000,10,10,low_fee,5m,15839,12.646,5.032,2.51,224.57,529
test,10000,10,10,low_fee,15m,15839,12.646,6.737,1.88,224.57,529
test,10000,10,10,high_fee,1m,15839,12.646,2.841,4.45,224.57,529
test,10000,10,10,high_fee,5m,15839,12.646,4.811,2.63,224.57,529
test,10000,10,10,high_fee,15m,15839,12.646,6.358,1.99,224.57,529
test,10000,10,10,institutional_fee,1m,15839,12.646,2.961,4.27,224.57,529
test,10000,10,10,institutional_fee,5m,15839,12.646,5.07,2.49,224.57,529
test,10000,10,10,institutional_fee,15m,15839,12.646,6.762,1.87,224.57,529
test,10000,25,0,base_fee,1m,15839,6.528,3.34,1.95,224.57,529
test,10000,25,0,base_fee,5m,15839,6.528,5.644,1.16,224.57,529
test,10000,25,0,base_fee,15m,15839,6.528,7.74,0.84,224.57,529
test,10000,25,0,low_fee,1m,15839,6.528,3.504,1.86,224.57,529
test,10000,25,0,low_fee,5m,15839,6.528,5.834,1.12,224.57,529
test,10000,25,0,low_fee,15m,15839,6.528,8.1,0.81,224.57,529
test,10000,25,0,high_fee,1m,15839,6.528,3.195,2.04,224.57,529
test,10000,25,0,high_fee,5m,15839,6.528,5.455,1.2,224.57,529
test,10000,25,0,high_fee,15m,15839,6.528,7.456,0.88,224.57,529
test,10000,25,0,institutional_fee,1m,15839,6.528,3.656,1.79,224.57,529
test,10000,25,0,institutional_fee,5m,15839,6.528,6.105,1.07,224.57,529
test,10000,25,0,institutional_fee,15m,15839,6.528,8.466,0.77,224.57,529
test,10000,25,2,base_fee,1m,15839,6.528,3.195,2.04,224.57,529
test,10000,25,2,base_fee,5m,15839,6.528,5.455,1.2,224.57,529
test,10000,25,2,base_fee,15m,15839,6.528,7.456,0.88,224.57,529
test,10000,25,2,low_fee,1m,15839,6.528,3.34,1.95,224.57,529
test,10000,25,2,low_fee,5m,15839,6.528,5.644,1.16,224.57,529
test,10000,25,2,low_fee,15m,15839,6.528,7.74,0.84,224.57,529
test,10000,25,2,high_fee,1m,15839,6.528,3.081,2.12,224.57,529
test,10000,25,2,high_fee,5m,15839,6.528,5.303,1.23,224.57,529
test,10000,25,2,high_fee,15m,15839,6.528,7.122,0.92,224.57,529
test,10000,25,2,institutional_fee,1m,15839,6.528,3.422,1.91,224.57,529
test,10000,25,2,institutional_fee,5m,15839,6.528,5.764,1.13,224.57,529
test,10000,25,2,institutional_fee,15m,15839,6.528,8.043,0.81,224.57,529
test,10000,25,5,base_fee,1m,15839,6.528,3.03,2.15,224.57,529
test,10000,25,5,base_fee,5m,15839,6.528,5.164,1.26,224.57,529
test,10000,25,5,base_fee,15m,15839,6.528,6.831,0.96,224.57,529
test,10000,25,5,low_fee,1m,15839,6.528,3.163,2.06,224.57,529
test,10000,25,5,low_fee,5m,15839,6.528,5.442,1.2,224.57,529
test,10000,25,5,low_fee,15m,15839,6.528,7.444,0.88,224.57,529
test,10000,25,5,high_fee,1m,15839,6.528,2.961,2.2,224.57,529
test,10000,25,5,high_fee,5m,15839,6.528,5.07,1.29,224.57,529
test,10000,25,5,high_fee,15m,15839,6.528,6.762,0.97,224.57,529
test,10000,25,5,institutional_fee,1m,15839,6.528,3.195,2.04,224.57,529
test,10000,25,5,institutional_fee,5m,15839,6.528,5.455,1.2,224.57,529
test,10000,25,5,institutional_fee,15m,15839,6.528,7.456,0.88,224.57,529
test,10000,25,10,base_fee,1m,15839,6.528,2.879,2.27,224.57,529
test,10000,25,10,base_fee,5m,15839,6.528,4.88,1.34,224.57,529
test,10000,25,10,base_fee,15m,15839,6.528,6.433,1.01,224.57,529
test,10000,25,10,low_fee,1m,15839,6.528,2.929,2.23,224.57,529
test,10000,25,10,low_fee,5m,15839,6.528,5.032,1.3,224.57,529
test,10000,25,10,low_fee,15m,15839,6.528,6.737,0.97,224.57,529
test,10000,25,10,high_fee,1m,15839,6.528,2.841,2.3,224.57,529
test,10000,25,10,high_fee,5m,15839,6.528,4.811,1.36,224.57,529
test,10000,25,10,high_fee,15m,15839,6.528,6.358,1.03,224.57,529
test,10000,25,10,institutional_fee,1m,15839,6.528,2.961,2.2,224.57,529
test,10000,25,10,institutional_fee,5m,15839,6.528,5.07,1.29,224.57,529
test,10000,25,10,institutional_fee,15m,15839,6.528,6.762,0.97,224.57,529
test,10000,50,0,base_fee,1m,15839,5.891,3.34,1.76,224.57,529
test,10000,50,0,base_fee,5m,15839,5.891,5.644,1.04,224.57,529
test,10000,50,0,base_fee,15m,15839,5.891,7.74,0.76,224.57,529
test,10000,50,0,low_fee,1m,15839,5.891,3.504,1.68,224.57,529
test,10000,50,0,low_fee,5m,15839,5.891,5.834,1.01,224.57,529
test,10000,50,0,low_fee,15m,15839,5.891,8.1,0.73,224.57,529
test,10000,50,0,high_fee,1m,15839,5.891,3.195,1.84,224.57,529
test,10000,50,0,high_fee,5m,15839,5.891,5.455,1.08,224.57,529
test,10000,50,0,high_fee,15m,15839,5.891,7.456,0.79,224.57,529
test,10000,50,0,institutional_fee,1m,15839,5.891,3.656,1.61,224.57,529
test,10000,50,0,institutional_fee,5m,15839,5.891,6.105,0.96,224.57,529
test,10000,50,0,institutional_fee,15m,15839,5.891,8.466,0.7,224.57,529
test,10000,50,2,base_fee,1m,15839,5.891,3.195,1.84,224.57,529
test,10000,50,2,base_fee,5m,15839,5.891,5.455,1.08,224.57,529
test,10000,50,2,base_fee,15m,15839,5.891,7.456,0.79,224.57,529
test,10000,50,2,low_fee,1m,15839,5.891,3.34,1.76,224.57,529
test,10000,50,2,low_fee,5m,15839,5.891,5.644,1.04,224.57,529
test,10000,50,2,low_fee,15m,15839,5.891,7.74,0.76,224.57,529
test,10000,50,2,high_fee,1m,15839,5.891,3.081,1.91,224.57,529
test,10000,50,2,high_fee,5m,15839,5.891,5.303,1.11,224.57,529
test,10000,50,2,high_fee,15m,15839,5.891,7.122,0.83,224.57,529
test,10000,50,2,institutional_fee,1m,15839,5.891,3.422,1.72,224.57,529
test,10000,50,2,institutional_fee,5m,15839,5.891,5.764,1.02,224.57,529
test,10000,50,2,institutional_fee,15m,15839,5.891,8.043,0.73,224.57,529
test,10000,50,5,base_fee,1m,15839,5.891,3.03,1.94,224.57,529
test,10000,50,5,base_fee,5m,15839,5.891,5.164,1.14,224.57,529
test,10000,50,5,base_fee,15m,15839,5.891,6.831,0.86,224.57,529
test,10000,50,5,low_fee,1m,15839,5.891,3.163,1.86,224.57,529
test,10000,50,5,low_fee,5m,15839,5.891,5.442,1.08,224.57,529
test,10000,50,5,low_fee,15m,15839,5.891,7.444,0.79,224.57,529
test,10000,50,5,high_fee,1m,15839,5.891,2.961,1.99,224.57,529
test,10000,50,5,high_fee,5m,15839,5.891,5.07,1.16,224.57,529
test,10000,50,5,high_fee,15m,15839,5.891,6.762,0.87,224.57,529
test,10000,50,5,institutional_fee,1m,15839,5.891,3.195,1.84,224.57,529
test,10000,50,5,institutional_fee,5m,15839,5.891,5.455,1.08,224.57,529
test,10000,50,5,institutional_fee,15m,15839,5.891,7.456,0.79,224.57,529
test,10000,50,10,base_fee,1m,15839,5.891,2.879,2.05,224.57,529
test,10000,50,10,base_fee,5m,15839,5.891,4.88,1.21,224.57,529
test,10000,50,10,base_fee,15m,15839,5.891,6.433,0.92,224.57,529
test,10000,50,10,low_fee,1m,15839,5.891,2.929,2.01,224.57,529
test,10000,50,10,low_fee,5m,15839,5.891,5.032,1.17,224.57,529
test,10000,50,10,low_fee,15m,15839,5.891,6.737,0.87,224.57,529
test,10000,50,10,high_fee,1m,15839,5.891,2.841,2.07,224.57,529
test,10000,50,10,high_fee,5m,15839,5.891,4.811,1.22,224.57,529
test,10000,50,10,high_fee,15m,15839,5.891,6.358,0.93,224.57,529
test,10000,50,10,institutional_fee,1m,15839,5.891,2.961,1.99,224.57,529
test,10000,50,10,institutional_fee,5m,15839,5.891,5.07,1.16,224.57,529
test,10000,50,10,institutional_fee,15m,15839,5.891,6.762,0.87,224.57,529
test,50000,0,0,base_fee,1m,15839,83.686,2.216,37.76,146.75,351
test,50000,0,0,base_fee,5m,15839,83.686,4.255,19.67,146.75,351
test,50000,0,0,base_fee,15m,15839,83.686,6.213,13.47,146.75,351
test,50000,0,0,low_fee,1m,15839,83.686,2.393,34.97,146.75,351
test,50000,0,0,low_fee,5m,15839,83.686,4.552,18.38,146.75,351
test,50000,0,0,low_fee,15m,15839,83.686,6.654,12.58,146.75,351
test,50000,0,0,high_fee,1m,15839,83.686,2.014,41.55,146.75,351
test,50000,0,0,high_fee,5m,15839,83.686,3.775,22.17,146.75,351
test,50000,0,0,high_fee,15m,15839,83.686,5.417,15.45,146.75,351
test,50000,0,0,institutional_fee,1m,15839,83.686,2.5,33.47,146.75,351
test,50000,0,0,institutional_fee,5m,15839,83.686,4.76,17.58,146.75,351
test,50000,0,0,institutional_fee,15m,15839,83.686,7.014,11.93,146.75,351
test,50000,0,2,base_fee,1m,15839,83.686,2.014,41.55,146.75,351
test,50000,0,2,base_fee,5m,15839,83.686,3.775,22.17,146.75,351
test,50000,0,2,base_fee,15m,15839,83.686,5.417,15.45,146.75,351
test,50000,0,2,low_fee,1m,15839,83.686,2.216,37.76,146.75,351
test,50000,0,2,low_fee,5m,15839,83.686,4.255,19.67,146.75,351
test,50000,0,2,low_fee,15m,15839,83.686,6.213,13.47,146.75,351
test,50000,0,2,high_fee,1m,15839,83.686,1.913,43.75,146.75,351
test,50000,0,2,high_fee,5m,15839,83.686,3.58,23.38,146.75,351
test,50000,0,2,high_fee,15m,15839,83.686,5.177,16.16,146.75,351
test,50000,0,2,institutional_fee,1m,15839,83.686,2.279,36.72,146.75,351
test,50000,0,2,institutional_fee,5m,15839,83.686,4.375,19.13,146.75,351
test,50000,0,2,institutional_fee,15m,15839,83.686,6.427,13.02,146.75,351
test,50000,0,5,base_fee,1m,15839,83.686,1.875,44.63,146.75,351
test,50000,0,5,base_fee,5m,15839,83.686,3.58,23.38,146.75,351
test,50000,0,5,base_fee,15m,15839,83.686,5.177,16.16,146.75,351
test,50000,0,5,low_fee,1m,15839,83.686,1.945,43.04,146.75,351
test,50000,0,5,low_fee,5m,15839,83.686,3.643,22.97,146.75,351
test,50000,0,5,low_fee,15m,15839,83.686,5.278,15.86,146.75,351
test,50000,0,5,high_fee,1m,15839,83.686,1.743,48.03,146.75,351
test,50000,0,5,high_fee,5m,15839,83.686,3.416,24.5,146.75,351
test,50000,0,5,high_fee,15m,15839,83.686,4.969,16.84,146.75,351
test,50000,0,5,institutional_fee,1m,15839,83.686,2.014,41.55,146.75,351
test,50000,0,5,institutional_fee,5m,15839,83.686,3.775,22.17,146.75,351
test,50000,0,5,institutional_fee,15m,15839,83.686,5.417,15.45,146.75,351
test,50000,0,10,base_fee,1m,15839,83.686,1.623,51.58,146.75,351
test,50000,0,10,base_fee,5m,15839,83.686,3.239,25.84,146.75,351
test,50000,0,10,base_fee,15m,15839,83.686,4.723,17.72,146.75,351
test,50000,0,10,low_fee,1m,15839,83.686,1.717,48.73,146.75,351
test,50000,0,10,low_fee,5m,15839,83.686,3.365,24.87,146.75,351
test,50000,0,10,low_fee,15m,15839,83.686,4.861,17.21,146.75,351
test,50000,0,10,high_fee,1m,15839,83.686,1.585,52.81,146.75,351
test,50000,0,10,high_fee,5m,15839,83.686,3.169,26.4,146.75,351
test,50000,0,10,high_fee,15m,15839,83.686,4.647,18.01,146.75,351
test,50000,0,10,institutional_fee,1m,15839,83.686,1.743,48.03,146.75,351
test,50000,0,10,institutional_fee,5m,15839,83.686,3.416,24.5,146.75,351
test,50000,0,10,institutional_fee,15m,15839,83.686,4.969,16.84,146.75,351
test,50000,5,0,base_fee,1m,15839,25.766,2.216,11.63,146.75,351
test,50000,5,0,base_fee,5m,15839,25.766,4.255,6.05,146.75,351
test,50000,5,0,base_fee,15m,15839,25.766,6.213,4.15,146.75,351
test,50000,5,0,low_fee,1m,15839,25.766,2.393,10.77,146.75,351
test,50000,5,0,low_fee,5m,15839,25.766,4.552,5.66,146.75,351
test,50000,5,0,low_fee,15m,15839,25.766,6.654,3.87,146.75,351
test,50000,5,0,high_fee,1m,15839,25.766,2.014,12.79,146.75,351
test,50000,5,0,high_fee,5m,15839,25.766,3.775,6.82,146.75,351
test,50000,5,0,high_fee,15m,15839,25.766,5.417,4.76,146.75,351
test,50000,5,0,institutional_fee,1m,15839,25.766,2.5,10.31,146.75,351
test,50000,5,0,institutional_fee,5m,15839,25.766,4.76,5.41,146.75,351
test,50000,5,0,institutional_fee,15m,15839,25.766,7.014,3.67,146.75,351
test,50000,5,2,base_fee,1m,15839,25.766,2.014,12.79,146.75,351
test,50000,5,2,base_fee,5m,15839,25.766,3.775,6.82,146.75,351
test,50000,5,2,base_fee,15m,15839,25.766,5.417,4.76,146.75,351
test,50000,5,2,low_fee,1m,15839,25.766,2.216,11.63,146.75,351
test,50000,5,2,low_fee,5m,15839,25.766,4.255,6.05,146.75,351
test,50000,5,2,low_fee,15m,15839,25.766,6.213,4.15,146.75,351
test,50000,5,2,high_fee,1m,15839,25.766,1.913,13.47,146.75,351
test,50000,5,2,high_fee,5m,15839,25.766,3.58,7.2,146.75,351
test,50000,5,2,high_fee,15m,15839,25.766,5.177,4.98,146.75,351
test,50000,5,2,institutional_fee,1m,15839,25.766,2.279,11.3,146.75,351
test,50000,5,2,institutional_fee,5m,15839,25.766,4.375,5.89,146.75,351
test,50000,5,2,institutional_fee,15m,15839,25.766,6.427,4.01,146.75,351
test,50000,5,5,base_fee,1m,15839,25.766,1.875,13.74,146.75,351
test,50000,5,5,base_fee,5m,15839,25.766,3.58,7.2,146.75,351
test,50000,5,5,base_fee,15m,15839,25.766,5.177,4.98,146.75,351
test,50000,5,5,low_fee,1m,15839,25.766,1.945,13.25,146.75,351
test,50000,5,5,low_fee,5m,15839,25.766,3.643,7.07,146.75,351
test,50000,5,5,low_fee,15m,15839,25.766,5.278,4.88,146.75,351
test,50000,5,5,high_fee,1m,15839,25.766,1.743,14.79,146.75,351
test,50000,5,5,high_fee,5m,15839,25.766,3.416,7.54,146.75,351
test,50000,5,5,high_fee,15m,15839,25.766,4.969,5.19,146.75,351
test,50000,5,5,institutional_fee,1m,15839,25.766,2.014,12.79,146.75,351
test,50000,5,5,institutional_fee,5m,15839,25.766,3.775,6.82,146.75,351
test,50000,5,5,institutional_fee,15m,15839,25.766,5.417,4.76,146.75,351
test,50000,5,10,base_fee,1m,15839,25.766,1.623,15.88,146.75,351
test,50000,5,10,base_fee,5m,15839,25.766,3.239,7.96,146.75,351
test,50000,5,10,base_fee,15m,15839,25.766,4.723,5.46,146.75,351
test,50000,5,10,low_fee,1m,15839,25.766,1.717,15.0,146.75,351
test,50000,5,10,low_fee,5m,15839,25.766,3.365,7.66,146.75,351
test,50000,5,10,low_fee,15m,15839,25.766,4.861,5.3,146.75,351
test,50000,5,10,high_fee,1m,15839,25.766,1.585,16.26,146.75,351
test,50000,5,10,high_fee,5m,15839,25.766,3.169,8.13,146.75,351
test,50000,5,10,high_fee,15m,15839,25.766,4.647,5.54,146.75,351
test,50000,5,10,institutional_fee,1m,15839,25.766,1.743,14.79,146.75,351
test,50000,5,10,institutional_fee,5m,15839,25.766,3.416,7.54,146.75,351
test,50000,5,10,institutional_fee,15m,15839,25.766,4.969,5.19,146.75,351
test,50000,10,0,base_fee,1m,15839,12.646,2.216,5.71,146.75,351
test,50000,10,0,base_fee,5m,15839,12.646,4.255,2.97,146.75,351
test,50000,10,0,base_fee,15m,15839,12.646,6.213,2.04,146.75,351
test,50000,10,0,low_fee,1m,15839,12.646,2.393,5.28,146.75,351
test,50000,10,0,low_fee,5m,15839,12.646,4.552,2.78,146.75,351
test,50000,10,0,low_fee,15m,15839,12.646,6.654,1.9,146.75,351
test,50000,10,0,high_fee,1m,15839,12.646,2.014,6.28,146.75,351
test,50000,10,0,high_fee,5m,15839,12.646,3.775,3.35,146.75,351
test,50000,10,0,high_fee,15m,15839,12.646,5.417,2.33,146.75,351
test,50000,10,0,institutional_fee,1m,15839,12.646,2.5,5.06,146.75,351
test,50000,10,0,institutional_fee,5m,15839,12.646,4.76,2.66,146.75,351
test,50000,10,0,institutional_fee,15m,15839,12.646,7.014,1.8,146.75,351
test,50000,10,2,base_fee,1m,15839,12.646,2.014,6.28,146.75,351
test,50000,10,2,base_fee,5m,15839,12.646,3.775,3.35,146.75,351
test,50000,10,2,base_fee,15m,15839,12.646,5.417,2.33,146.75,351
test,50000,10,2,low_fee,1m,15839,12.646,2.216,5.71,146.75,351
test,50000,10,2,low_fee,5m,15839,12.646,4.255,2.97,146.75,351
test,50000,10,2,low_fee,15m,15839,12.646,6.213,2.04,146.75,351
test,50000,10,2,high_fee,1m,15839,12.646,1.913,6.61,146.75,351
test,50000,10,2,high_fee,5m,15839,12.646,3.58,3.53,146.75,351
test,50000,10,2,high_fee,15m,15839,12.646,5.177,2.44,146.75,351
test,50000,10,2,institutional_fee,1m,15839,12.646,2.279,5.55,146.75,351
test,50000,10,2,institutional_fee,5m,15839,12.646,4.375,2.89,146.75,351
